Order date,SUBSIDIARY_CD,GLOBAL_NO,CLASSIFY_CD,CUST_CD,BRAND_CD,INNER_CD,SUPPLIER_CD,Sales order line number,Stock class,Consider count hodiday Saturday,SO QTY,OTHER AREA SHIP DIV,ALLOCATION QTY,SUPPLIER INV AMOUNT,PACKING RANK,PRODUCT_CD,PRODUCT ATTRIBUTION,SPECIAL DIV,LOGICAL PLANT,PURCHASE AMOUNT,VSD,DIRECT SHIP FLG,DELI_DIV,label,Ship Mode,SHIP DECISION NO,PACK QTY,WEIGHT PER PIECE,SUPPLIER_DIV,HEAVY_FLG,EXPENSIVE_FLG,SPECIAL_DIV,ACTUAL_SHIP_DAYS,SPECIFY_PRODUCTION_DAYS,SPECIFY_SHIP_DAYS,HAZARD_FLG,SO_DAY_OF_MONTH,SO_DAY_OF_WEEK,IO_UNFIT_FLG,WEIGHT_UNIT,REASON_CD,SOUF_RCV_NO,QTUF_RCV_NO,SO_TIME,SUPPLIER_CATEGORY_CD,PRODUCT_ASSORT
2022-06-18 00:00:00,MJP,05251378000019,05029917,251378,MSM1,53093980001,4038,7,1,4,7, ,7,51191,Z,FSP-PS-220-250-160-K-WB2205110004,1,0,53,51191,2022-06-30 00:00:00,1,40,1,R,151838,0,3271,1.0,0,0,0,8,-1,-1,0,18,6,0,g,410,,,104343,05, 
2022-05-23 00:00:00,MJP,05253969000001,23026111,253969,PAN1,K9041000256,8484,1,1,4,1, ,1,24480,Z,NNL8300ENCLE2,1,0,53,24480,2022-05-25 00:00:00,0,00,1,C,338195,0,2200,3.0,0,0,0,1,-1,-1,0,23,1,0,g,   ,,,163643,05, 
2022-04-21 00:00:00,MJP,05260654019721,03712536,260654,MSM1,30043420007,3013,5,1,0,1, ,1,1433,B,BGHF-C608ZZ-40,1,0,53,1433,2022-04-27 00:00:00,0,00,1,C,144212,0,100,1.0,0,0,0,4,-1,-1,0,21,4,0,g,   ,,,110408,05, 
2022-05-10 00:00:00,MJP,01070949001063,21059565,070949,HSK1,F5157061051,8385,11,1,4,50, ,50,700,Z,CB-405BE,1,0,53,700,2022-06-08 00:00:00,0,00,1,B,220766,0,2,3.0,0,0,0,15,-1,-1,0,10,2,0,g,   ,,,164328,05, 
2022-04-01 00:00:00,MJP,01071031629704,23029356,071031,A5H1,K8167960198,5851,1,1,4,1, ,1,20400,Z,FP-7L,1,0,53,20400,2022-05-10 00:00:00,0,00,1,J,420028,0,500,3.0,0,0,0,23,-1,-1,0,1,5,0,g,401,,,090055,05, 
2022-05-18 00:00:00,MJP,05260884014565,03954111,260884,MSM1,30357420001,3081,1,1,0,4, ,4,4320,Z,NFS6-6060-581,1,0,53,4320,2022-05-20 00:00:00,0,00,1,V,173007,0,1529,1.0,0,0,0,1,-1,-1,0,18,3,0,g,   ,,,161556,05, 
2022-05-18 00:00:00,MJP,05260884014566,03954111,260884,MSM1,30357260002,3081,2,1,0,4, ,4,7192,Z,NEFS6-6090-728,1,0,53,7192,2022-05-20 00:00:00,0,00,1,V,173008,0,2257,1.0,0,0,0,1,-1,-1,0,18,3,0,g,   ,,,161556,05, 
2022-05-18 00:00:00,MJP,05260884014567,03954111,260884,MSM1,30357260002,3081,3,1,0,4, ,4,7980,Z,NEFS6-6090-808,1,0,53,7980,2022-05-20 00:00:00,0,00,1,V,173008,0,2505,1.0,0,0,0,1,-1,-1,0,18,3,0,g,   ,,,161556,05, 
2022-04-26 00:00:00,MJP,05263461008132,06010220,263461,MSM1,61300513075,1121,1,1,4,1,1,1,5543,Z,T-XAL-HEM4S12-CC1.8,1,0,53,5543,2022-05-11 00:00:00,1,40,1,T,340374,0,132,1.0,0,0,0,5,-1,-1,0,26,2,0,g,   ,,,161000,05, 
2022-04-22 00:00:00,MJP,05264121002463,03954110,264121,MSM1,30350170301,3081,1,1,0,2, ,2,2300,Z,GFS6-3030-1420,1,0,53,2300,2022-04-27 00:00:00,0,00,1,C,144239,0,1449,1.0,0,0,0,3,-1,-1,0,22,5,0,g,   ,,,153422,05, 
2022-04-18 00:00:00,MJP,01071325637030,06010401,071325,MSM1,61010140001,1048,1,1,4,10, ,10,30480,Z,SVEM4-2.10-0.35-50-10,1,0,53,30480,2022-04-23 00:00:00,1,50,1,T,204564,0,9,1.0,0,0,0,4,-1,-1,0,18,1,0,g,410,,,131528,05, 
2022-04-18 00:00:00,MJP,01071325637031,06010401,071325,MSM1,61010140001,1048,2,1,4,10, ,10,30480,Z,SVEM4-4.00-0.05-30-10,1,0,53,30480,2022-04-23 00:00:00,1,50,1,T,204564,0,9,1.0,0,0,0,4,-1,-1,0,18,1,0,g,410,,,131528,05, 
2022-04-18 00:00:00,MJP,01071325637032,06010401,071325,MSM1,61010140001,1048,3,1,4,10, ,10,30480,Z,SVEM4-4.00-0.05-40-10,1,0,53,30480,2022-04-23 00:00:00,1,50,1,T,204564,0,9,1.0,0,0,0,4,-1,-1,0,18,1,0,g,410,,,131528,05, 
2022-04-18 00:00:00,MJP,01071325637033,06010401,071325,MSM1,61010140001,1048,4,1,4,10, ,10,30480,Z,SVEM4-4.00-0.05-50-10,1,0,53,30480,2022-04-23 00:00:00,1,50,1,T,204564,0,9,1.0,0,0,0,4,-1,-1,0,18,1,0,g,410,,,131528,05, 
2022-04-18 00:00:00,MJP,01071325637034,06010401,071325,MSM1,61010140001,1048,5,1,4,10, ,10,30480,Z,SVEM4-4.00-0.05-90-10,1,0,53,30480,2022-04-23 00:00:00,1,50,1,T,204564,0,9,1.0,0,0,0,4,-1,-1,0,18,1,0,g,410,,,131528,05, 
2022-04-18 00:00:00,MJP,01071325637035,06010401,071325,MSM1,61010140001,1048,1,1,4,10, ,10,30480,Z,SVEM4-4.00-0.05-50-10,1,0,53,30480,2022-04-23 00:00:00,1,50,1,T,204565,0,9,1.0,0,0,0,4,-1,-1,0,18,1,0,g,410,,,131720,05, 
2022-04-18 00:00:00,MJP,01071325637036,06010401,071325,MSM1,61010140001,1048,2,1,4,10, ,10,30480,Z,SVEM4-4.00-0.05-90-10,1,0,53,30480,2022-04-23 00:00:00,1,50,1,T,204565,0,9,1.0,0,0,0,4,-1,-1,0,18,1,0,g,410,,,131720,05, 
2022-05-16 00:00:00,MJP,01071325637839,03954109,071325,MSM1,30350820002,3081,8,1,0,8, ,8,17960,Z,HFS6-3060-750-TPW-SC-CW,1,0,53,17960,2022-05-20 00:00:00,0,00,1,P,171819,0,1200,1.0,0,0,0,3,-1,-1,0,16,1,0,g,   ,,,100258,05, 
2022-05-16 00:00:00,MJP,01071325637840,03954109,071325,MSM1,30350820002,3081,9,1,0,10, ,10,15360,Z,HFS6-3060-690-SC-CW,1,0,53,15360,2022-05-20 00:00:00,0,00,1,P,171819,0,1104,1.0,0,0,0,3,-1,-1,0,16,1,0,g,   ,,,100258,05, 
2022-05-16 00:00:00,MJP,01071325637841,03954109,071325,MSM1,30350820002,3081,10,1,0,8, ,8,12200,Z,HFS6-3060-680-SC-CW,1,0,53,12200,2022-05-20 00:00:00,0,00,1,P,171820,0,1088,1.0,0,0,0,3,-1,-1,0,16,1,0,g,   ,,,100258,05, 
2022-05-16 00:00:00,MJP,01071325637842,03954109,071325,MSM1,30350820002,3081,11,1,0,4, ,4,5872,Z,HFS6-3060-630-SC-CW,1,0,53,5872,2022-05-20 00:00:00,0,00,1,P,171820,0,1008,1.0,0,0,0,3,-1,-1,0,16,1,0,g,   ,,,100258,05, 
2022-05-16 00:00:00,MJP,01071325637843,03954109,071325,MSM1,30350820001,3081,12,1,0,4, ,4,4764,Z,HFS6-3030-690-SC-CW,1,0,53,4764,2022-05-20 00:00:00,0,00,1,P,171820,0,621,1.0,0,0,0,3,-1,-1,0,16,1,0,g,   ,,,100258,05, 
2022-05-16 00:00:00,MJP,01071325637844,03954109,071325,MSM1,30350820001,3081,13,1,0,4, ,4,4892,Z,HFS6-3030-740-SC-CW,1,0,53,4892,2022-05-20 00:00:00,0,00,1,P,171820,0,666,1.0,0,0,0,3,-1,-1,0,16,1,0,g,   ,,,100258,05, 
2022-05-16 00:00:00,MJP,01071325637848,03954109,071325,MSM1,30350820001,3081,17,1,0,8, ,8,8144,Z,HFS6-3030-420-SC-CW,1,0,53,8144,2022-05-20 00:00:00,0,00,1,P,171820,0,378,1.0,0,0,0,3,-1,-1,0,16,1,0,g,   ,,,100258,05, 
2022-05-16 00:00:00,MJP,01071325637849,03954109,071325,MSM1,30350820001,3081,18,1,0,4, ,4,4904,Z,HFS6-3030-744-SC-CW,1,0,53,4904,2022-05-20 00:00:00,0,00,1,P,171821,0,670,1.0,0,0,0,3,-1,-1,0,16,1,0,g,   ,,,100258,05, 
