Unnamed: 0,Address,tinh,tinh_cat,qh,qh_cat,px,px_cat,duong,Address_ch,street,ward,district,province,normalized_address
3138,"florita khu him lam , phường tân hưng , quận 7",,,,,,,,,florita khu him lam phường tân hưng quận 7,,,,florita khu him lam phường tân hưng quận 7
3139,đường trần nguyên hãn,,,,,,,,,đường trần nguyên hãn,,,,đường trần nguyên hãn
3140,"midtown sakura , pmh , q7",,,,,,,,,midtown sakura pmh q7,,,,midtown sakura pmh q7
3141,"horizon , trần quang khải , quận 1",,,,,,,,,horizon trần quang khải quận 1,,,,horizon trần quang khải quận 1
3142,0934 010 908,,,,,,,,,0934 010 908,,,,0934 010 908
3143,"214 trần quang khải , tân định , quận 1",,,,,,,,,214 trần quang khải tân định quận 1,,,,214 trần quang khải tân định quận 1
3144,"hoàng ngân , thanh xuân , hà nội",,,,,,,,,hoàng ngân thanh xuân hà nội,,,,hoàng ngân thanh xuân hà nội
3145,tòa the zen gamuda,,,,,,,,,tòa the zen gamuda,,,,tòa the zen gamuda
3146,"green field , địa chỉ 686 xô viết nghệ tĩnh , p25 , bình thạnh",,,,,,,,,green field địa chỉ 686 xô viết nghệ tĩnh p25 bình thạnh,,,,green field địa chỉ 686 xô viết nghệ tĩnh p25 bình thạnh
3147,"chung cư botanic , quận phú nhuận",,,,,,,,,chung cư botanic quận phú nhuận,,,,chung cư botanic quận phú nhuận
3148,"indochina plaza hà nội , số 241 xuân thủy , cầu giấy , hà nội",,,,,,,,,indochina plaza hà nội số 241 xuân thủy cầu giấy hà nội,,,,indochina plaza hà nội số 241 xuân thủy cầu giấy hà nội
3149,"green field , địa chỉ : 686 xô viết nghệ tĩnh , phường 25 , bình thạnh , thành phố hồ chí minh",,,,,,,,,green field địa chỉ 686 xô viết nghệ tĩnh phường 25 bình thạnh thành phố,,,Hồ Chí Minh,"green field địa chỉ 686 xô viết nghệ tĩnh phường 25 bình thạnh thành phố, Hồ Chí Minh"
3150,phố hoàng hoa thám,,,,,,,,,phố hoàng hoa thám,,,,phố hoàng hoa thám
3151,starlake tây hồ tây,,,,,,,,,starlake tây hồ tây,,,,starlake tây hồ tây
3152,"hamona , đường trương công định , quận tân bình",,,,,,,,,hamona đường trương công định quận tân bình,,,,hamona đường trương công định quận tân bình
3153,"101 nguyễn bỉnh khiêm , p . đa kao quận 1",,,,,,,,,101 nguyễn bỉnh khiêm p đa kao quận 1,,,,101 nguyễn bỉnh khiêm p đa kao quận 1
3154,423 võ văn tần,,,,,,,,,423 võ văn tần,,,,423 võ văn tần
3155,mặt tiền đường hải phòng,,,,,,,,,mặt tiền đường,,,Hải Phòng,"mặt tiền đường, Hải Phòng"
3156,"số 20 trung kính , cầu giấy",,,,,,,,,số 20 trung kính cầu giấy,,,,số 20 trung kính cầu giấy
3157,mặt tiền đường lê văn việt cạnh,,,,,,,,,mặt tiền đường lê văn việt cạnh,,,,mặt tiền đường lê văn việt cạnh
3158,chung cư sunshine riverside,,,,,,,,,chung cư sunshine riverside,,,,chung cư sunshine riverside
3159,del dorado lạc long quân,,,,,,,,,del dorado lạc long quân,,,,del dorado lạc long quân
3160,chung cư ct 4 khu đô thị vĩnh điềm trung,,,,,,,,,chung cư ct 4 khu đô thị vĩnh điềm trung,,,,chung cư ct 4 khu đô thị vĩnh điềm trung
3161,"chung cư vinhome grandpark 83m2 , tòa s3 . 02",,,,,,,,,chung cư vinhome grandpark 83m2 tòa s3 02,,,,chung cư vinhome grandpark 83m2 tòa s3 02
3162,"chung cư era lạc long quân , quận tân bình",,,,,,,,,chung cư era lạc long quân quận tân bình,,,,chung cư era lạc long quân quận tân bình
3163,chung cư hòa bình green city - 505 minh khai,,,,,,,,,chung cư  green city 505 minh khai,,,Hòa Bình,"chung cư  green city 505 minh khai, Hòa Bình"
3164,"nguyễn thị minh khai , quận 3",,,,,,,,,nguyễn thị minh khai quận 3,,,,nguyễn thị minh khai quận 3
3165,cổ nhuế - bắc từ liêm,,,,,,,,,cổ nhuế bắc từ liêm,,,,cổ nhuế bắc từ liêm
3166,ngách 347 / 116 / 1 nhà số 4,,,,,,,,,ngách 347 116 1 nhà số 4,,,,ngách 347 116 1 nhà số 4
3167,số 4 / 116 / 1 / 347 tdp viên 3 - đường cổ nhuế - phường cổ nhuế 2 - bắc từ liêm,,,,,,,,,số 4 116 1 347 tdp viên 3 đường cổ nhuế phường cổ nhuế 2 bắc từ liêm,,,,số 4 116 1 347 tdp viên 3 đường cổ nhuế phường cổ nhuế 2 bắc từ liêm
3168,tháp t1,,,,,,,,,tháp t1,,,,tháp t1
3169,đường nguyễn hữu thọ - linh đàm - hà nội,,,,,,,,,đường nguyễn hữu thọ linh đàm hà nội,,,,đường nguyễn hữu thọ linh đàm hà nội
3170,"phố liễu giai , phường liễu giai , ba đình",,,,,,,,,phố liễu giai phường liễu giai ba đình,,,,phố liễu giai phường liễu giai ba đình
3171,tập thể văn công mai dịch,,,,,,,,,tập thể văn công mai dịch,,,,tập thể văn công mai dịch
3172,"kingston , đường nguyễn văn trỗi , quận phú nhuận",,,,,,,,,kingston đường nguyễn văn trỗi quận phú nhuận,,,,kingston đường nguyễn văn trỗi quận phú nhuận
3173,"lake view cii , đường nguyễn cơ thạch khu đô thị thủ thiêm , quận 2 , tp hcm",,,,,,,,,lake view cii đường nguyễn cơ thạch khu đô thị thủ thiêm quận 2 tp hcm,,,,lake view cii đường nguyễn cơ thạch khu đô thị thủ thiêm quận 2 tp hcm
3174,lake view cii,,,,,,,,,lake view cii,,,,lake view cii
3175,vinhomes q9 tòa s2 . 02,,,,,,,,,vinhomes q9 tòa s2 02,,,,vinhomes q9 tòa s2 02
3176,"ngõ 797 trương định , hà nội",,,,,,,,,ngõ 797 trương định hà nội,,,,ngõ 797 trương định hà nội
3177,cityland park hills phan văn trị gò vấp,,,,,,,,,cityland park hills phan văn trị gò vấp,,,,cityland park hills phan văn trị gò vấp
3178,hiyori võ văn kiệt,,,,,,,,,hiyori võ văn kiệt,,,,hiyori võ văn kiệt
3179,"giai việt , 856 , tạ quang bửu , phường 5 , quận 8 , hồ chí minh",,,,,,,,,giai việt 856 tạ quang bửu,Phường 5, Quận 8,Hồ Chí Minh,"giai việt 856 tạ quang bửu, Phường 5,  Quận 8, Hồ Chí Minh"
3180,hồ tùng mậu p . bến nghé quận 1,,,,,,,,,hồ tùng mậu p bến nghé quận 1,,,,hồ tùng mậu p bến nghé quận 1
3181,khu cư xá lữ gia,,,,,,,,,khu cư xá lữ gia,,,,khu cư xá lữ gia
3182,"mỹ khánh 3 đường nguyễn đức cảnh , phú mỹ hưng , quận 7 , tp . hồ chí minh",,,,,,,,,mỹ khánh 3 đường nguyễn đức cảnh phú mỹ hưng  tp,, Quận 7,Hồ Chí Minh,"mỹ khánh 3 đường nguyễn đức cảnh phú mỹ hưng  tp,  Quận 7, Hồ Chí Minh"
3183,cc imperia garden,,,,,,,,,cc imperia garden,,,,cc imperia garden
3184,"chung cư imperia garden , thanh xuân , hà nội",,,,,,,,,chung cư imperia garden thanh xuân hà nội,,,,chung cư imperia garden thanh xuân hà nội
3185,"289 + 291 phố xã đàn , đống đa",,,,,,,,,289 291 phố xã đàn đống đa,,,,289 291 phố xã đàn đống đa
3186,bàu cát 2,,,,,,,,,bàu cát 2,,,,bàu cát 2
3187,đường hồ sen - cầu rào 2,,,,,,,,,đường hồ sen cầu rào 2,,,,đường hồ sen cầu rào 2
3188,"chung cư imperia garden , 203 nguyễn huy tưởng",,,,,,,,,chung cư imperia garden 203 nguyễn huy tưởng,,,,chung cư imperia garden 203 nguyễn huy tưởng
3189,1 tòa w1 - w2 dự án vinhomes westpoint đỗ đức dục - phạm hùng,,,,,,,,,1 tòa w1 w2 dự án vinhomes westpoint đỗ đức dục phạm hùng,,,,1 tòa w1 w2 dự án vinhomes westpoint đỗ đức dục phạm hùng
3190,times city,,,,,,,,,times city,,,,times city
3191,"trần bình trọng ( phường trần hưng đạo , hoàn kiếm )",,,,,,,,,trần bình trọng phường trần hưng đạo hoàn kiếm,,,,trần bình trọng phường trần hưng đạo hoàn kiếm
3192,đường d1,,,,,,,,,đường d1,,,,đường d1
3193,dự án wilton - novaland,,,,,,,,,dự án wilton novaland,,,,dự án wilton novaland
3194,"113 / 46 đường năm châu , p . 11 , tân bình",,,,,,,,,113 46 đường năm châu p 11 tân bình,,,,113 46 đường năm châu p 11 tân bình
3195,"the prince , số 19 nguyễn văn trỗi , q . phú nhuận",,,,,,,,,the prince số 19 nguyễn văn trỗi q phú nhuận,,,,the prince số 19 nguyễn văn trỗi q phú nhuận
3196,văn cao,,,,,,,,,văn cao,,,,văn cao
3197,trung tâm bến thành q1,,,,,,,,,trung tâm bến thành q1,,,,trung tâm bến thành q1
3198,đầu đường số 1 dự án t & t thái sơn long hậu,,,,,,,,,đầu đường số 1 dự án t t thái sơn long hậu,,,,đầu đường số 1 dự án t t thái sơn long hậu
3199,"himlam 6a , kdc trung sơn",,,,,,,,,himlam 6a kdc trung sơn,,,,himlam 6a kdc trung sơn
3200,mặt tiền nguyễn văn lăng,,,,,,,,,mặt tiền nguyễn văn lăng,,,,mặt tiền nguyễn văn lăng
3201,chung cư newton,,,,,,,,,chung cư newton,,,,chung cư newton
3202,"đường số 5 khu dc him lam , phường tân hưng , quận 7",,,,,,,,,đường số 5 khu dc him lam phường tân hưng quận 7,,,,đường số 5 khu dc him lam phường tân hưng quận 7
3203,trung tâm q7,,,,,,,,,trung tâm q7,,,,trung tâm q7
3204,khu đô thị an phú - an khánh quận 2,,,,,,,,,khu đô thị an phú an khánh quận 2,,,,khu đô thị an phú an khánh quận 2
3205,"celadon city đường bờ bao tân thắng , phường sơn kỳ , quận tân phú",,,,,,,,,celadon city đường bờ bao tân thắng phường sơn kỳ quận tân phú,,,,celadon city đường bờ bao tân thắng phường sơn kỳ quận tân phú
3206,đường số 22 khu đô thị vcn phước long,,,,,,,,,đường số 22 khu đô thị vcn phước long,,,,đường số 22 khu đô thị vcn phước long
3207,"181 / 7 đường âu dương lân , p . 2 , quận 8",,,,,,,,,181 7 đường âu dương lân p 2 quận 8,,,,181 7 đường âu dương lân p 2 quận 8
3208,2 mặt tiền đường đào duy từ,,,,,,,,,2 mặt tiền đường đào duy từ,,,,2 mặt tiền đường đào duy từ
3209,đội nhân,,,,,,,,,đội nhân,,,,đội nhân
3210,"nhà đội nhân , , p , đội cấn , q . ba đình , hà nội",,,,,,,,,nhà đội nhân p đội cấn q ba đình hà nội,,,,nhà đội nhân p đội cấn q ba đình hà nội
3211,trung tâm của đội nhân,,,,,,,,,trung tâm của đội nhân,,,,trung tâm của đội nhân
3212,p . bình an thủ đức house,,,,,,,,,p bình an thủ đức house,,,,p bình an thủ đức house
3213,p . bình an,,,,,,,,,p bình an,,,,p bình an
3214,"chung cư cityland park hills , gò vấp",,,,,,,,,chung cư cityland park hills gò vấp,,,,chung cư cityland park hills gò vấp
3215,chung cư cityland park hills gò vấp,,,,,,,,,chung cư cityland park hills gò vấp,,,,chung cư cityland park hills gò vấp
3216,diamond lotus riverside q8,,,,,,,,,diamond lotus riverside q8,,,,diamond lotus riverside q8
3217,"số 49c lê quang kim , p8 , q8 , tp hcm",,,,,,,,,số 49c lê quang kim p8 q8 tp hcm,,,,số 49c lê quang kim p8 q8 tp hcm
3218,"pasteur phường 6 , quận 3",,,,,,,,,pasteur phường 6 quận 3,,,,pasteur phường 6 quận 3
3219,marina - eco park,,,,,,,,,marina eco park,,,,marina eco park
3220,khu đô thị eco park - huyện văn giang - hưng yên,,,,,,,,,khu đô thị eco park,,Huyện Văn Giang,Hưng Yên,"khu đô thị eco park, Huyện Văn Giang, Hưng Yên"
3221,hẻm 111 đường lê đình cẩn quận bình tân,,,,,,,,,hẻm 111 đường lê đình cẩn quận bình tân,,,,hẻm 111 đường lê đình cẩn quận bình tân
3222,"estella heights , tháp 4",,,,,,,,,estella heights tháp 4,,,,estella heights tháp 4
3223,mặt tiền đường song hành xa lộ hà nội,,,,,,,,,mặt tiền đường song hành xa lộ hà nội,,,,mặt tiền đường song hành xa lộ hà nội
3224,"dự án tài tâm , ngõ 124 vĩnh tuy",,,,,,,,,dự án tài tâm ngõ 124 vĩnh tuy,,,,dự án tài tâm ngõ 124 vĩnh tuy
3225,"an khang khu an phú an khánh , phường an phú , quận 2",,,,,,,,,an khang khu an phú an khánh phường an phú quận 2,,,,an khang khu an phú an khánh phường an phú quận 2
3226,"112 / 23 bạch đằng , p2 , tân bình , tphcm",,,,,,,,,112 23 bạch đằng p2 tân bình tphcm,,,,112 23 bạch đằng p2 tân bình tphcm
3227,khu chung cư rừng cọ ecopark,,,,,,,,,khu chung cư rừng cọ ecopark,,,,khu chung cư rừng cọ ecopark
3228,mặt ngõ phố hoàng cầu - nguyễn phúc lai,,,,,,,,,mặt ngõ phố hoàng cầu nguyễn phúc lai,,,,mặt ngõ phố hoàng cầu nguyễn phúc lai
3229,"lý thường kiệt , cư xá lữ gia , q11",,,,,,,,,lý thường kiệt cư xá lữ gia q11,,,,lý thường kiệt cư xá lữ gia q11
3230,river gate tầng 18,,,,,,,,,river gate tầng 18,,,,river gate tầng 18
3231,studio river gate,,,,,,,,,studio river gate,,,,studio river gate
3232,"chung cư horizon tower , số 214 trần quang khải , quận 1",,,,,,,,,chung cư horizon tower số 214 trần quang khải quận 1,,,,chung cư horizon tower số 214 trần quang khải quận 1
3233,"chung cư melody residences , số 16 âu cơ , phường tân sơn nhì , quận tân phú",,,,,,,,,chung cư melody residences số 16 âu cơ phường tân sơn nhì quận tân phú,,,,chung cư melody residences số 16 âu cơ phường tân sơn nhì quận tân phú
3234,"mỹ phúc nguyễn đức cảnh , p tân phong , quận 7",,,,,,,,,mỹ phúc nguyễn đức cảnh p tân phong quận 7,,,,mỹ phúc nguyễn đức cảnh p tân phong quận 7
3235,"lucky palace , 50 phan văn khỏe , p2 , quận 6",,,,,,,,,lucky palace 50 phan văn khỏe p2 quận 6,,,,lucky palace 50 phan văn khỏe p2 quận 6
3236,"phường an phú đông , quận 12",,,,,,,,,phường an phú đông quận 12,,,,phường an phú đông quận 12
3237,"tân phước plaza , đường lý nam đế , phường 7 , quận 11",,,,,,,,,tân phước plaza đường lý nam đế phường 7 quận 11,,,,tân phước plaza đường lý nam đế phường 7 quận 11
3238,khu a khu đô thị an phú an khánh,,,,,,,,,khu a khu đô thị an phú an khánh,,,,khu a khu đô thị an phú an khánh
3239,lô an phú,,,,,,,,,lô an phú,,,,lô an phú
3240,shopvilla an phú,,,,,,,,,shopvilla an phú,,,,shopvilla an phú
3241,chung cư tân phước plaza đường lý nam đế . q11,,,,,,,,,chung cư tân phước plaza đường lý nam đế q11,,,,chung cư tân phước plaza đường lý nam đế q11
3242,ngõ rộng lê duẩn,,,,,,,,,ngõ rộng lê duẩn,,,,ngõ rộng lê duẩn
3243,"golden mansion - địa chỉ 119 phổ quang , p pường 09 , quận phú nhuận",,,,,,,,,golden mansion địa chỉ 119 phổ quang p pường 09 quận phú nhuận,,,,golden mansion địa chỉ 119 phổ quang p pường 09 quận phú nhuận
3244,"celadon city phường sơn kỳ , quận tân phú",,,,,,,,,celadon city phường sơn kỳ quận tân phú,,,,celadon city phường sơn kỳ quận tân phú
3245,"tô vĩnh diện , khương mai , thanh xuân , hà nội",,,,,,,,,tô vĩnh diện khương mai thanh xuân hà nội,,,,tô vĩnh diện khương mai thanh xuân hà nội
3246,"mặt tiền đường nguyễn bá huân , phường thảo điền quận 2",,,,,,,,,mặt tiền đường nguyễn bá huân phường thảo điền quận 2,,,,mặt tiền đường nguyễn bá huân phường thảo điền quận 2
3247,"babylon , mt đường âu cơ , p . tân thành , q . tân phú",,,,,,,,,babylon mt đường âu cơ p tân thành q tân phú,,,,babylon mt đường âu cơ p tân thành q tân phú
3248,"nguyễn văn lộc , mỗ lao , hà đông",,,,,,,,,nguyễn văn lộc mỗ lao hà đông,,,,nguyễn văn lộc mỗ lao hà đông
3249,tòa nhà mặt phố trung hòa lô,,,,,,,,,tòa nhà mặt phố trung hòa lô,,,,tòa nhà mặt phố trung hòa lô
3250,tòa vinhomes 29 liễu giai,,,,,,,,,tòa vinhomes 29 liễu giai,,,,tòa vinhomes 29 liễu giai
3251,chung cư ct 2 khu đô thị vcn phước hải,,,,,,,,,chung cư ct 2 khu đô thị vcn phước hải,,,,chung cư ct 2 khu đô thị vcn phước hải
3252,mt phố thảo điền q2,,,,,,,,,mt phố thảo điền q2,,,,mt phố thảo điền q2
3253,ngõ 621 vũ tông phan,,,,,,,,,ngõ 621 vũ tông phan,,,,ngõ 621 vũ tông phan
3254,samland giai việt số 854 tạ quang bửu phường 5 quận 8,,,,,,,,,samland giai việt số 854 tạ quang bửu phường 5 quận 8,,,,samland giai việt số 854 tạ quang bửu phường 5 quận 8
3255,ngõ phố nguyên hồng,,,,,,,,,ngõ phố nguyên hồng,,,,ngõ phố nguyên hồng
3256,"chung cư 43 hồ văn huê , quận phú nhuận",,,,,,,,,chung cư 43 hồ văn huê quận phú nhuận,,,,chung cư 43 hồ văn huê quận phú nhuận
3257,moonlight parkview bình tân,,,,,,,,,moonlight parkview bình tân,,,,moonlight parkview bình tân
3258,khu đô thị hdmon mỹ đình,,,,,,,,,khu đô thị hdmon mỹ đình,,,,khu đô thị hdmon mỹ đình
3259,"27 trần duy hưng , trung hòa , cầu giấy , hà nội",,,,,,,,,27 trần duy hưng trung hòa cầu giấy hà nội,,,,27 trần duy hưng trung hòa cầu giấy hà nội
3260,khu emerald chung cư celadon city tân phú,,,,,,,,,khu emerald chung cư celadon city tân phú,,,,khu emerald chung cư celadon city tân phú
3261,"khu emerald chung cư celadon city tân phú , 36 bờ bao tân thắng , p . sơn kỳ , q . tân phú",,,,,,,,,khu emerald chung cư celadon city tân phú 36 bờ bao tân thắng p sơn kỳ q tân phú,,,,khu emerald chung cư celadon city tân phú 36 bờ bao tân thắng p sơn kỳ q tân phú
3262,khu emerald,,,,,,,,,khu emerald,,,,khu emerald
3263,"ngõ 184 , đê trần khát chân , hai bà trưng",,,,,,,,,ngõ 184 đê trần khát chân hai bà trưng,,,,ngõ 184 đê trần khát chân hai bà trưng
3264,"ngõ 184 , đê trần khát chân",,,,,,,,,ngõ 184 đê trần khát chân,,,,ngõ 184 đê trần khát chân
3265,"241b đường nguyễn trãi , quận 1",,,,,,,,,241b đường nguyễn trãi quận 1,,,,241b đường nguyễn trãi quận 1
3266,"thôn xuân ngọc , vĩnh ngọc , nha trang , khánh hòa",,,,,,,,,thôn xuân ngọc vĩnh ngọc nha trang,,,Khánh Hòa,"thôn xuân ngọc vĩnh ngọc nha trang, Khánh Hòa"
3267,chung cư the legend 109 nguyễn tuân,,,,,,,,,chung cư the legend 109 nguyễn tuân,,,,chung cư the legend 109 nguyễn tuân
3268,587 lạc long quân,,,,,,,,,587 lạc long quân,,,,587 lạc long quân
3269,"chung cư cao cấp the prince , nguyễn văn trỗi , phú nhuận",,,,,,,,,chung cư cao cấp the prince nguyễn văn trỗi phú nhuận,,,,chung cư cao cấp the prince nguyễn văn trỗi phú nhuận
3270,vinhomes skylake phạm hùng,,,,,,,,,vinhomes skylake phạm hùng,,,,vinhomes skylake phạm hùng
3271,golden west,,,,,,,,,golden west,,,,golden west
3272,"scenic valley phú mỹ hưng , quận 7 , tp . hồ chí minh",,,,,,,,,scenic valley phú mỹ hưng  tp,, Quận 7,Hồ Chí Minh,"scenic valley phú mỹ hưng  tp,  Quận 7, Hồ Chí Minh"
3273,cityland park hills phường 10 gò vấp,,,,,,,,,cityland park hills phường 10 gò vấp,,,,cityland park hills phường 10 gò vấp
3274,"p . nghĩa đô , q . cầu giấy , hà nội",,,,,,,,,p nghĩa đô q cầu giấy hà nội,,,,p nghĩa đô q cầu giấy hà nội
3275,hoàng quốc việt,,,,,,,,,hoàng quốc việt,,,,hoàng quốc việt
3276,xuân thủy khu phố tây thảo điền,,,,,,,,,xuân thủy khu phố tây thảo điền,,,,xuân thủy khu phố tây thảo điền
3277,căn số 1 quận 2,,,,,,,,,căn số 1 quận 2,,,,căn số 1 quận 2
3278,đường đà nẵng,,,,,,,,,đường,,,Đà Nẵng,"đường, Đà Nẵng"
3279,phố trần quốc toản,,,,,,,,,phố trần quốc toản,,,,phố trần quốc toản
3280,"50d nguyễn bỉnh khiêm , p1 , gò vấp",,,,,,,,,50d nguyễn bỉnh khiêm p1 gò vấp,,,,50d nguyễn bỉnh khiêm p1 gò vấp
3281,khung đường nguyễn bỉnh khiêm,,,,,,,,,khung đường nguyễn bỉnh khiêm,,,,khung đường nguyễn bỉnh khiêm
3282,"mỹ tú cảnh quan phú mỹ hưng , quận 7 , tp . hồ chí minh",,,,,,,,,mỹ tú cảnh quan phú mỹ hưng  tp,, Quận 7,Hồ Chí Minh,"mỹ tú cảnh quan phú mỹ hưng  tp,  Quận 7, Hồ Chí Minh"
3283,ehome 2,,,,,,,,,ehome 2,,,,ehome 2
3284,đường lạch tray,,,,,,,,,đường lạch tray,,,,đường lạch tray
3285,"chung cư oriental plaza , đ / c : 685 âu cơ , quận tân phú",,,,,,,,,chung cư oriental plaza đ c 685 âu cơ quận tân phú,,,,chung cư oriental plaza đ c 685 âu cơ quận tân phú
3286,"đường nguyễn thiện thuật , phường 3 , quận 3",,,,,,,,,đường nguyễn thiện thuật phường 3 quận 3,,,,đường nguyễn thiện thuật phường 3 quận 3
3287,quận 2 . + citi home,,,,,,,,,quận 2 citi home,,,,quận 2 citi home
3288,"khu đô thị mỹ đình sông đà sudico , thuộc phường mỹ đình 1 , quận nam từ liêm , hà nội",,,,,,,,,khu đô thị mỹ đình sông đà sudico thuộc phường mỹ đình 1 quận nam từ liêm hà nội,,,,khu đô thị mỹ đình sông đà sudico thuộc phường mỹ đình 1 quận nam từ liêm hà nội
3289,florita him lam quận 7,,,,,,,,,florita him lam quận 7,,,,florita him lam quận 7
3290,"khu đô thị an phú an khánh , quận 2",,,,,,,,,khu đô thị an phú an khánh quận 2,,,,khu đô thị an phú an khánh quận 2
3291,"nguyễn thị định , trung hòa nhân chính , thanh xuân , hà nội",,,,,,,,,nguyễn thị định trung hòa nhân chính thanh xuân hà nội,,,,nguyễn thị định trung hòa nhân chính thanh xuân hà nội
3292,"khu công nghiệp tb , quận tân phú",,,,,,,,,khu công nghiệp tb quận tân phú,,,,khu công nghiệp tb quận tân phú
3293,c7 giảng võ,,,,,,,,,c7 giảng võ,,,,c7 giảng võ
3294,tòa c7 giang võ,,,,,,,,,tòa c7 giang võ,,,,tòa c7 giang võ
3295,"yết kiêu ( phường nguyễn du , hai bà trưng",,,,,,,,,yết kiêu phường nguyễn du hai bà trưng,,,,yết kiêu phường nguyễn du hai bà trưng
3296,chung cư the pride,,,,,,,,,chung cư the pride,,,,chung cư the pride
3297,"tòa s2 . 11 , khu đô thị vinhomes ocean park , gia lâm",,,,,,,,,tòa s2 11 khu đô thị vinhomes ocean park gia lâm,,,,tòa s2 11 khu đô thị vinhomes ocean park gia lâm
3298,căn hộ florita,,,,,,,,,căn hộ florita,,,,căn hộ florita
3299,a10 nam trung yên,,,,,,,,,a10 nam trung yên,,,,a10 nam trung yên
3300,moonlight park view,,,,,,,,,moonlight park view,,,,moonlight park view
3301,"moonlight park view đường số 7 , p . an lạc a , q . bình tân , tp hcm",,,,,,,,,moonlight park view đường số 7 p an lạc a q bình tân tp hcm,,,,moonlight park view đường số 7 p an lạc a q bình tân tp hcm
3302,mặt tiền đường số 7,,,,,,,,,mặt tiền đường số 7,,,,mặt tiền đường số 7
3303,"mặt tiền đường an dương vương , phường 8 , quận 5",,,,,,,,,mặt tiền đường an dương vương phường 8 quận 5,,,,mặt tiền đường an dương vương phường 8 quận 5
3304,mặt tiền đường sư vạn hạnh,,,,,,,,,mặt tiền đường sư vạn hạnh,,,,mặt tiền đường sư vạn hạnh
3305,chung cư kosmo tây hồ,,,,,,,,,chung cư kosmo tây hồ,,,,chung cư kosmo tây hồ
3306,thuộc tòa novo,,,,,,,,,thuộc tòa novo,,,,thuộc tòa novo
3307,đường cát dài,,,,,,,,,đường cát dài,,,,đường cát dài
3308,mặt tiền đường nguyễn văn thoại,,,,,,,,,mặt tiền đường nguyễn văn thoại,,,,mặt tiền đường nguyễn văn thoại
3309,"205 nguyễn văn thoại , phường an hải đông , quận sơn trà , đà nẵng",,,,,,,,,205 nguyễn văn thoại,Phường An Hải Đông,Quận Sơn Trà,Đà Nẵng,"205 nguyễn văn thoại, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"
3310,phố đội cấn,,,,,,,,,phố đội cấn,,,,phố đội cấn
3311,"shop hưng vượng 2 , mặt tiền đường số 6 , phú mỹ hưng , quận 7",,,,,,,,,shop hưng vượng 2 mặt tiền đường số 6 phú mỹ hưng quận 7,,,,shop hưng vượng 2 mặt tiền đường số 6 phú mỹ hưng quận 7
3312,"đường võ thị liễu , phường an phú đông , quận 12",,,,,,,,,đường võ thị liễu phường an phú đông quận 12,,,,đường võ thị liễu phường an phú đông quận 12
3313,1 tòa w1 - w2,,,,,,,,,1 tòa w1 w2,,,,1 tòa w1 w2
3314,dự án vinhomes westpoint đỗ đức dục - phạm hùng,,,,,,,,,dự án vinhomes westpoint đỗ đức dục phạm hùng,,,,dự án vinhomes westpoint đỗ đức dục phạm hùng
3315,"hồng phúc ( phường nguyễn trung trực , ba đình )",,,,,,,,,hồng phúc phường nguyễn trung trực ba đình,,,,hồng phúc phường nguyễn trung trực ba đình
3316,chung cư cao cấp m5 - nguyễn chí thanh,,,,,,,,,chung cư cao cấp m5 nguyễn chí thanh,,,,chung cư cao cấp m5 nguyễn chí thanh
3317,q . 8 - giai việt chính,,,,,,,,,q 8 giai việt chính,,,,q 8 giai việt chính
3318,quận 8,,,,,,,,,quận 8,,,,quận 8
3319,khu liễu giai - đốc ngữ - quần ngựa,,,,,,,,,khu liễu giai đốc ngữ quần ngựa,,,,khu liễu giai đốc ngữ quần ngựa
3320,tuệ tĩnh quận hai bà trưng,,,,,,,,,tuệ tĩnh quận hai bà trưng,,,,tuệ tĩnh quận hai bà trưng
3321,"6 nam quốc cang , p phạm ngũ lão , quận 1",,,,,,,,,6 nam quốc cang p phạm ngũ lão quận 1,,,,6 nam quốc cang p phạm ngũ lão quận 1
3322,"khu âu cơ , tây hồ , hà nội",,,,,,,,,khu âu cơ tây hồ hà nội,,,,khu âu cơ tây hồ hà nội
3323,florence mỹ đình,,,,,,,,,florence mỹ đình,,,,florence mỹ đình
3324,"giảng võ , ba đình",,,,,,,,,giảng võ ba đình,,,,giảng võ ba đình
3325,đường 54 phường thảo điền quận 2,,,,,,,,,đường 54 phường thảo điền quận 2,,,,đường 54 phường thảo điền quận 2
3326,happy valley phú mỹ hưng,,,,,,,,,happy valley phú mỹ hưng,,,,happy valley phú mỹ hưng
3327,shop 846 happyvalley,,,,,,,,,shop 846 happyvalley,,,,shop 846 happyvalley
3328,"mặt phố đại linh , trung văn",,,,,,,,,mặt phố đại linh trung văn,,,,mặt phố đại linh trung văn
3329,mặt tiền tỉnh lộ 835,,,,,,,,,mặt tiền tỉnh lộ 835,,,,mặt tiền tỉnh lộ 835
3330,"cc xi grand court q10 , đường lý thường kiệt",,,,,,,,,cc xi grand court q10 đường lý thường kiệt,,,,cc xi grand court q10 đường lý thường kiệt
3331,3 tháng 2 quận 11,,,,,,,,,3 tháng 2 quận 11,,,,3 tháng 2 quận 11
3332,"số 35 lê văn thiêm , lô góc ngụy như kon tum",,,,,,,,,số 35 lê văn thiêm lô góc ngụy như,,,Kon Tum,"số 35 lê văn thiêm lô góc ngụy như, Kon Tum"
3333,"tòa nhà stellar garden , số 35 lê văn thiêm",,,,,,,,,tòa nhà stellar garden số 35 lê văn thiêm,,,,tòa nhà stellar garden số 35 lê văn thiêm
